@relation naiveBayes

@attribute le0 numeric
@attribute le1 numeric
@attribute le2 numeric
@attribute le3 numeric
@attribute le4 numeric
@attribute le5 numeric
@attribute le6 numeric
@attribute le7 numeric
@attribute le8 numeric
@attribute re0 numeric
@attribute re1 numeric
@attribute re2 numeric
@attribute re3 numeric
@attribute re4 numeric
@attribute re5 numeric
@attribute re6 numeric
@attribute re7 numeric
@attribute re8 numeric
@attribute ll0 numeric
@attribute ll1 numeric
@attribute ll2 numeric
@attribute ll3 numeric
@attribute ll4 numeric
@attribute ll5 numeric
@attribute ll6 numeric
@attribute ll7 numeric
@attribute ll8 numeric
@attribute ul0 numeric
@attribute ul1 numeric
@attribute ul2 numeric
@attribute ul3 numeric
@attribute ul4 numeric
@attribute ul5 numeric
@attribute ul6 numeric
@attribute ul7 numeric
@attribute ul8 numeric
@attribute label {Normal,Drooping}

@data
81.02327,131.139832,293.937661,105.741324,166.235168,180.645355,21.987293,174.214752,0.036234,195.723389,245.133072,288.287016,220.958868,164.692307,178.459381,20.864766,172.280386,0.080696,125.614853,218.265472,1027.191361,172.673542,288.649139,311.667969,61.356621,302.334368,0.047606,119.457207,223.609451,1436.395464,171.411902,274.421875,286.465332,12.506735,279.251701,0.048165,Drooping
72.796753,124.942673,318.648528,98.167903,156.627258,171.577927,25.126595,165.288291,0.03726,193.871384,246.717224,328.512689,220.769911,145.177536,161.425751,31.740026,154.49673,0.137463,116.366699,221.19278,1322.843014,169.64761,282.178528,309.366333,86.167332,298.281243,0.047198,109.426468,227.072601,1831.140864,166.992237,263.665161,278.685699,19.381823,269.604353,0.043309,Drooping
68.411171,121.282967,328.618385,93.973159,167.253082,182.731476,26.494421,175.841575,0.020526,187.654755,240.686523,328.779077,214.844172,159.982956,175.475525,27.798443,168.668283,0.106667,113.324783,220.833099,1373.003966,167.364968,299.984406,326.200043,76.332293,316.034339,0.067642,106.227409,227.320892,1911.868223,165.131899,285.097015,300.067902,19.710133,290.719338,0.067095,Drooping
94.822273,141.464371,252.51512,117.806045,182.232605,195.083771,17.94436,189.523569,0.006725,200.694977,246.01004,241.468029,223.986953,179.186264,192.281006,18.920004,186.610345,0.064738,129.180145,222.205444,1011.100176,176.815932,289.882263,307.381378,39.227711,299.954909,0.013101,122.367767,228.135803,1482.489303,175.854684,276.056396,284.648499,7.489953,279.812805,0.010808,Drooping
78.877556,131.359924,324.769925,104.688847,139.176529,155.031433,27.661155,148.500924,0.034414,198.306122,250.302307,320.858662,224.991574,136.83194,152.105576,26.631123,145.813591,0.090743,119.501694,229.237595,1432.956996,175.416897,262.144104,292.210175,101.671358,280.335042,0.060289,111.662094,235.774002,2021.550619,173.635102,249.456116,259.488922,9.803775,252.884105,0.059987,Drooping
74.556236,121.200676,256.737639,97.488371,163.077103,181.074188,36.035093,172.376724,0.114588,178.968796,224.497711,245.679072,202.377973,163.397018,180.179382,31.377058,171.864651,0.12333,114.127136,197.850479,883.695049,156.29669,321.513031,351.167999,102.861129,338.615136,0.067317,110.371704,201.337128,1095.884401,156.248727,302.610077,320.596008,28.67387,309.854101,0.068675,Drooping
93.574921,140.411438,256.528052,116.659536,143.815048,156.0457,16.985605,150.734837,0.088299,201.027695,248.9077,265.730225,225.454756,150.706131,162.21553,14.972521,157.169112,0.025429,118.987549,215.424179,1104.060574,166.096942,262.234558,282.05188,43.696971,274.425018,0.057739,113.436249,221.959366,1541.080531,166.987841,246.693542,262.222473,21.299497,252.900553,0.057236,Drooping
86.118561,132.073486,251.174527,108.915591,146.181854,159.674835,19.704467,153.813879,0.057897,190.889816,236.377228,248.008425,214.029214,143.343277,156.590683,20.376289,150.767777,0.123952,122.527847,213.193146,988.984723,168.725638,260.816315,287.785492,84.328149,276.83375,0.055095,116.417809,218.477448,1375.791171,167.659737,251.092346,258.242981,5.171116,253.644856,0.054392,Drooping
85.643906,132.518982,258.954642,108.597528,142.912827,156.076843,19.872613,150.274337,0.101558,195.254456,245.412781,291.1638,220.694459,150.877853,163.677979,18.619587,157.991643,0.037605,107.928345,205.72113,1140.464429,154.977478,262.392029,284.40863,51.182214,276.317118,0.084354,102.807724,212.526566,1579.756481,156.188936,246.627411,264.882294,29.808583,253.603749,0.084344,Drooping
80.232094,129.961731,286.803375,104.515526,159.668213,175.441498,26.960711,168.56751,0.019451,193.753937,243.499603,288.512379,219.431348,156.739655,171.956619,26.475658,165.307834,0.091004,124.959,226.930115,1260.280949,177.060455,288.37149,317.023865,91.942168,305.725935,0.066675,118.111275,232.160034,1714.343698,174.058953,267.357819,286.496979,32.229001,274.659968,0.067866,Drooping
